Customer_ID,Income,Credit_Score,Credit_Utilization,Missed_Payments,Delinquent_Account,Loan_Balance,Debt_to_Income_Ratio,Risk_Tier
CUST0001,165580.0,398.0,0.390501928600237,3,0,16310.0,0.31739611496857,Poor
CUST0002,100999.0,493.0,0.312444033226017,6,1,17401.0,0.196092643360821,Poor
CUST0003,188416.0,500.0,0.359930238508409,0,0,13761.0,0.301654939890911,Poor
CUST0004,101672.0,413.0,0.371400355303824,3,0,88778.0,0.264794439228806,Poor
CUST0005,38524.0,487.0,0.234715862628201,2,0,13316.0,0.510583482534848,Poor
CUST0006,84042.0,700.0,0.650540429714525,6,0,48361.0,0.260687881080009,Good
CUST0007,35056.0,354.0,0.390580940522579,3,0,4638.0,0.484265137288334,Poor
CUST0008,123215.0,415.0,0.532714667117731,5,0,55776.0,0.358695229118337,Poor
CUST0009,66991.0,405.0,0.413034847617951,5,1,0.0,0.219854102927027,Poor
CUST0010,34870.0,679.0,0.361823917542758,4,0,93922.0,0.333081092525975,Good
CUST0011,42532.0,340.0,0.83445584721737,4,0,82909.0,0.269559025366218,Poor
CUST0012,70479.0,679.0,0.684586436441881,3,0,75777.0,0.324215749074123,Good
CUST0013,56975.0,320.0,0.126359920008971,0,0,15171.0,0.228610901256673,Poor
CUST0014,117023.0,528.0,0.105172510332822,5,0,95136.0,0.469017763334595,Poor
CUST0015,143148.0,617.0,0.708521767127297,0,0,2593.0,0.392539809079672,Fair
CUST0016,159356.0,601.0,0.396029321690249,0,0,1514.0,0.303178156816159,Fair
CUST0017,146484.0,543.0,0.170183533213155,3,0,74039.0,0.472911476806953,Poor
CUST0018,183152.0,823.0,0.709147026508068,0,1,28018.0,0.307427924408284,Excellent
CUST0019,81040.0,831.0,0.533824810019818,5,0,16034.0,0.409762496486116,Excellent
CUST0020,181319.0,486.0,0.550314216966463,2,0,2420.0,0.303830058752242,Poor
CUST0021,199402.0,783.0,0.661907854401181,4,0,43942.0,0.339388759481057,Excellent
CUST0022,40351.0,690.0,0.238004568343521,2,1,2200.0,0.291856121905722,Good
CUST0023,154487.0,321.0,0.173699835723167,0,0,81757.0,0.309530135387393,Poor
CUST0024,108468.0,538.0,0.81619085898064,2,1,0.0,0.317053186038799,Poor
CUST0025,41646.0,847.0,0.212566647851541,5,0,28018.0,0.23302681675116,Excellent
CUST0026,193998.0,515.0,0.255552440584887,5,0,0.0,0.259893133307691,Poor
CUST0027,89740.0,789.0,0.295512924090846,0,0,89660.0,0.278324498351382,Excellent
CUST0028,136790.0,525.0,0.915989184738104,3,0,43870.0,0.322971101680229,Poor
CUST0029,86726.0,588.0,0.598676660082304,2,0,0.0,0.296942098049653,Fair
CUST0030,88523.0,523.0,0.693081594887076,3,0,29561.0,0.41730325338257,Poor
CUST0031,72458.0,374.0,0.539233509115745,3,0,60530.0,0.384711831897964,Poor
CUST0032,60106.0,385.0,0.379622557759753,1,0,46663.0,0.280367244397462,Poor
CUST0033,106362.0,806.0,0.626258256652033,0,1,11308.0,0.438178389745193,Excellent
CUST0034,99076.0,440.0,0.188676805840639,4,0,99005.0,0.487302062357545,Poor
CUST0035,69693.0,316.0,0.280943309580701,5,1,60278.0,0.1,Poor
CUST0036,137402.0,464.0,0.646595035852296,5,0,65119.0,0.393229008506627,Poor
CUST0037,53756.0,521.0,0.228548953834643,0,0,36029.0,0.23070158026685,Poor
CUST0038,181319.0,467.0,0.462183706167625,6,0,62010.0,0.380074802132329,Poor
CUST0039,183152.0,823.0,0.471297531128917,6,0,87164.0,0.423823794064643,Excellent
CUST0040,97750.0,352.0,0.394267599332567,6,0,91432.0,0.212300740548944,Poor
CUST0041,102235.0,372.0,0.109776305030228,4,0,44454.0,0.114767290098423,Poor
CUST0042,81617.0,359.0,0.374214221762261,5,0,11564.0,0.383543408821586,Poor
CUST0043,108468.0,792.0,0.335006324613502,0,1,11155.0,0.313540248248361,Excellent
CUST0044,66991.0,601.0,0.532287972657539,5,0,31198.0,0.133156124609737,Fair
CUST0045,106267.0,751.0,0.522098107739893,3,0,86447.0,0.552956450546282,Excellent
CUST0046,59238.0,401.0,0.575592291987374,2,1,0.0,0.362441941225655,Poor
CUST0047,153311.0,326.0,0.36480274540512,2,0,5626.0,0.367010004012515,Poor
CUST0048,146800.0,637.0,0.604555590093178,5,0,2687.0,0.436581775256204,Fair
CUST0049,97750.0,691.0,0.188798653445263,1,0,63375.0,0.241917604715349,Good
CUST0050,118033.0,469.0,0.135619053469529,4,0,92865.0,0.313045411208867,Poor
CUST0051,169865.0,336.0,0.05,6,0,92183.0,0.168067808622023,Poor
CUST0052,109074.0,383.0,0.4001405520856,4,0,0.0,0.239205155271481,Poor
CUST0053,185806.0,823.0,0.349340355132288,4,0,0.0,0.338566000046923,Excellent
CUST0054,194819.0,339.0,0.65786312237092,3,0,29427.0,0.133471533286754,Poor
CUST0055,90353.0,711.0,0.370267482590226,4,0,69342.0,0.236371045432191,Good
CUST0056,198401.0,715.0,0.554675269588853,2,0,17401.0,0.207206604006227,Good
CUST0057,76629.0,673.0,0.662659315316615,3,0,35372.0,0.314209224562034,Good
CUST0058,107193.0,843.0,0.362736184870176,0,0,70793.0,0.357470126166534,Excellent
CUST0059,81040.0,401.0,0.559610442021435,4,0,63443.0,0.374215280437645,Poor
CUST0060,107794.5,538.0,0.700385509791039,4,0,37445.0,0.399881664477815,Poor
CUST0061,140899.0,826.0,0.252367445038886,0,1,64950.0,0.437211684657237,Excellent
CUST0062,184160.0,475.0,0.504970467648928,4,0,49893.0,0.36072454536834,Poor
CUST0063,155507.0,801.0,0.363593123360137,0,0,81202.0,0.488733589889441,Excellent
